High Selling:
  22759: 5207
  15034: 5206
  21669: 5205
  21976: 5201
  22661: 5201
  23233: 5150
  21704: 5139
  22983: 5121
  84997D: 5076
  22161: 5064
  84596B: 5062
  20676: 5054
  23144: 5045
  22579: 5031
  22084: 5019
  23286: 4999
  22652: 4971
  21672: 4963
  23296: 4954
  21506: 4946
  16237: 4934
  22030: 4916
  23581: 4913
  22620: 4885
  22950: 4885
  22138: 4880
  22188: 4870
  23285: 4805
  22633: 4788
  22996: 4787
  35970: 4780
  21871: 4769
  22834: 4767
  20718: 4741
  22900: 4703
  23321: 4698
  23582: 4694
  22557: 4694
  23243: 4688
  20711: 4668
  22338: 4662
  84029E: 4660
  79000: 4638
  22536: 4624
  22083: 4602
  21811: 4593
  21916: 4576
  22139: 4559
  23288: 4544
  84949: 4538
  22111: 4537
  22992: 4520
  20973: 4518
  22534: 4494
  21479: 4486
  22544: 4478
  20992: 4451
  22959: 4451
  22710: 4451
  21829: 4448
  22712: 4438
  21136: 4428
  62018: 4415
  22333: 4412
  23294: 4407
  22908: 4382
  22632: 4366
  21877: 4366
  22970: 4351
  22041: 4336
  21169: 4336
  16045: 4333
  84375: 4309
  21673: 4279
  23297: 4277
  21671: 4269
  22053: 4243
  22027: 4224
  82582: 4218
  22553: 4209
  21670: 4188
  84997B: 4180
  21174: 4175
  22297: 4171
  85150: 4152
  21917: 4143
  22646: 4139
  23240: 4136
  16169E: 4125
  21314: 4113
  22986: 4080
  22348: 4074
  21165: 4070
  21986: 4067
  23103: 4052
  16161U: 4050
  22144: 4038
  17084R: 4032
  20685: 4027
  23439: 4027
  22816: 4023
  22979: 4006
  23378: 4003
  23353: 3992
  22037: 3977
  22087: 3972
  21124: 3966
  23493: 3964
  22491: 3947
  21936: 3931
  21559: 3926
  20984: 3920
  21238: 3918
  21390: 3903
  15056N: 3897
  21385: 3887
  22772: 3866
  82581: 3862
  21394: 3851
  23263: 3846
  47556B: 3831
  48187: 3826
  21154: 3823
  16218: 3821
  22962: 3818
  51014A: 3818
  22985: 3782
  23172: 3769
  23182: 3763
  22413: 3759
  21876: 3754
  48138: 3750
  21908: 3747
  22154: 3742
  21509: 3741
  84596F: 3732
  22367: 3722
  23354: 3683
  23275: 3672
  20677: 3671
  22631: 3651
  23503: 3644
  23318: 3643
  23319: 3623
  84950: 3621
  22530: 3607
  40016: 3596
  84029G: 3589
  20979: 3579
  22219: 3562
  22818: 3561
  35953: 3558
  23166: 3539
  21240: 3537
  23192: 3530
  21485: 3513
  22713: 3493
  22596: 3477
  22714: 3475
  23188: 3459
  21098: 3459
  23215: 3447
  23351: 3443
  23326: 3443
  48194: 3418
  22381: 3414
  21984: 3413
  22663: 3409
  22047: 3400
  21935: 3392
  21172: 3388
  23583: 3385
  22531: 3384
  22734: 3369
  21242: 3341
  22419: 3341
  16216: 3333
  22944: 3320
  22158: 3318
  72232: 3317
  21507: 3308
  21313: 3305
  22464: 3305
  23198: 3282
  23546: 3275
  23367: 3269
  21623: 3268
  22766: 3244
  21523: 3241
  22174: 3239
  23168: 3238
  21900: 3230
  21481: 3226
  22716: 3213
  23349: 3207
  22113: 3204
  20996: 3194
  22549: 3189
  22142: 3183
  21519: 3183
  21892: 3183
  22963: 3176
  22991: 3175
  M: 3164
  22488: 3161
  22775: 3159
  22296: 3155
  21156: 3132
  23000: 3132
  20675: 3109
  84536A: 3106
  16235: 3103
  22243: 3088
  22835: 3080
  22352: 3077
  22273: 3067
  21746: 3060
  18007: 3050
  22466: 3049
  23175: 3042
  84987: 3038
  84997C: 3037
  23376: 3027
  22150: 3019
  82552: 3016
  23165: 3016
  47591D: 3008
  16219: 3000
  21430: 2999
  35961: 2998
  22614: 2997
  21239: 2997
  85049A: 2993
  22028: 2992
  23313: 2984
  23322: 2982
  23174: 2969
  21874: 2959
  22999: 2957
  22507: 2953
  84050: 2924
  84832: 2923
  22539: 2921
  21155: 2919
  22568: 2916
  48185: 2886
  23507: 2884
  22711: 2877
  23571: 2859
  22915: 2858
  85049E: 2851
  22437: 2840
  22730: 2840
  47503A: 2838
  23328: 2837
  20717: 2835
  22563: 2830
  22196: 2824
  82551: 2804
  21395: 2796
  22295: 2795
  22989: 2791
  22570: 2788
  22597: 2788
  23570: 2782
  23157: 2782
  22141: 2780
  22667: 2778
  22708: 2775
  10133: 2775
  21754: 2760
  79063D: 2750
  22303: 2748
  23506: 2747
  23306: 2745
  20983: 2739
  22851: 2736
  22792: 2724
  23173: 2718
  22984: 2717
  15056BL: 2714
  22804: 2710
  70006: 2703
  23210: 2702
  23350: 2697
  22082: 2693
  21932: 2691
  22573: 2689
  23154: 2671
  23445: 2668
  21933: 2663
  23320: 2655
  22637: 2646
  85199S: 2643
  21899: 2643
  22815: 2640
  22817: 2639
  23508: 2629
  22855: 2628
  23346: 2626
  22964: 2614
  21818: 2610
  22819: 2608
  22421: 2596
  21833: 2586
  21084: 2586
  22153: 2583
  23158: 2575
  21078: 2573
  22619: 2566
  84997A: 2560
  23497: 2549
  22460: 2540
  21650: 2526
  37340: 2523
  23510: 2522
  22540: 2518
  22997: 2517
  23177: 2515
  23340: 2512
  21878: 2511
  23121: 2506
  51014C: 2505
  85175: 2503
  17096: 2497
  22398: 2492
  22569: 2487
  23545: 2480
  21508: 2478
  85212: 2476
  23236: 2476
  21819: 2459
  22601: 2458
  21535: 2453
  47599A: 2450
  23345: 2448
  23374: 2440
  22567: 2430
  17021: 2427
  23290: 2427
  22898: 2426
  21868: 2418
  22971: 2415
  21989: 2412
  21934: 2411
  21035: 2403
  22978: 2390
  22335: 2386
  21218: 2384
  22339: 2377
  23356: 2377
  23368: 2376
  22749: 2375
  23311: 2375
  21803: 2372
  22813: 2372
  22024: 2368
  22645: 2347
  22995: 2340
  23089: 2340
  22227: 2339
  22155: 2336
  22571: 2332
  21621: 2331
  21988: 2321
  22892: 2320
  22435: 2320
  22173: 2320
  22302: 2318
  22584: 2318
  23380: 2308
  23211: 2307
  22938: 2307
  23082: 2305
  23109: 2305
  22729: 2302
  22378: 2287
  22980: 2285
  21907: 2283
  21983: 2277
  21243: 2277
  23334: 2271
  22564: 2265
  22774: 2262
  23366: 2253
  22066: 2250
  23122: 2250
  23119: 2247
  47590B: 2244
  23212: 2240
  23187: 2239
  23032: 2236
  21244: 2234
  10135: 2230
  85178: 2230
  22152: 2225
  22046: 2216
  21642: 2216
  23191: 2215
  22644: 2215
  22301: 2204
  23159: 2197
  21090: 2193
  82483: 2190
  22493: 2190
  85015: 2182
  23241: 2177
  22602: 2177
  22336: 2175
  23100: 2168
  22994: 2167
  21380: 2167
  22651: 2166
  21592: 2162
  23292: 2161
  23247: 2160
  23108: 2157
  20982: 2152
  22574: 2144
  22814: 2141
  23035: 2136
  22436: 2135
  21558: 2134
  23148: 2131
  22668: 2130
  22945: 2127
  21802: 2124
  23176: 2122
  22593: 2121
  21216: 2117
  21974: 2113
  22748: 2108
  22094: 2107
  22546: 2103
  21987: 2100
  23333: 2098
  72351B: 2095
  23434: 2095
  22156: 2093
  46000S: 2092
  22773: 2087
  22499: 2087
  17091J: 2084
  82486: 2080
  23332: 2074
  23145: 2073
  22899: 2066
  15039: 2065
  22615: 2063
  48188: 2060
  22738: 2059
  22895: 2057
  84536B: 2054
  22431: 2054
  21484: 2053
  23266: 2052
  82578: 2048
  22427: 2042
  48184: 2041
  22131: 2038
  23101: 2037
  22465: 2033
  22706: 2032
  21755: 2030
  23256: 2027
  21875: 2027
  23280: 2022
  23002: 2017
  22745: 2016
  22750: 2014
  22594: 2005
  47593B: 1987
  51014L: 1987
  22091: 1984
  23155: 1980
  22195: 1978
  21544: 1975
  22241: 1974
  23186: 1970
  47590A: 1968
  21902: 1966
  47559B: 1966
  23264: 1965
  23436: 1964
  22343: 1959
  20981: 1957
  21749: 1955
  22754: 1953
  23437: 1937
  23504: 1934
  22725: 1934
  22917: 1932
  21494: 1932
  21993: 1931
  22599: 1929
  21992: 1926
  23234: 1925
  22148: 1924
  23399: 1922
  22098: 1919
  21034: 1918
  85014B: 1913
  71053: 1911
  22548: 1911
  23193: 1910
  22624: 1907
  22956: 1903
  22920: 1900
  21809: 1898
  22916: 1896
  22940: 1896
  23090: 1891
  22805: 1891
  21880: 1891
  22266: 1888
  22537: 1883
  22705: 1883
  22079: 1881
  22670: 1878
  23196: 1875
  22268: 1875
  22502: 1873
  23083: 1870
  23552: 1864
  22918: 1862
  35471D: 1860
  23365: 1859
  23382: 1858
  22171: 1858
  23229: 1858
  21403: 1857
  21179: 1856
  21845: 1855
  23550: 1855
  23147: 1855
  21786: 1853
  22653: 1847
  23238: 1846
  23551: 1843
  23287: 1840
  21399: 1839
  22331: 1838
  22439: 1836
  22904: 1836
  21504: 1835
  21844: 1828
  23004: 1827
  22739: 1825
  21901: 1824
  22093: 1823
  23438: 1823
  23501: 1823
  22893: 1809
  22025: 1805
  23194: 1802
  22088: 1799
  23330: 1798
  22694: 1794
  21912: 1792
  23352: 1791
  21381: 1790
  21287: 1790
  21824: 1790
  22075: 1788
  84971S: 1785
  47504K: 1783
  20978: 1783
  23480: 1781
  84596G: 1780
  23163: 1777
  23329: 1775
  16011: 1773
  23265: 1769
  85061W: 1766
  22059: 1766
  22972: 1764
  21164: 1762
  20749: 1762
  22798: 1754
  22957: 1752
  85066: 1751
  21524: 1751
  22919: 1745
  48173C: 1743
  22533: 1743
  20750: 1742
  22130: 1742
  22906: 1739
  84929: 1738
  23271: 1734
  72818: 1733
  23327: 1726
  22535: 1718
  23371: 1712
  22402: 1711
  22921: 1709
  DOT: 1707
  22432: 1707
  23161: 1703
  20679: 1701
  23190: 1700
  22064: 1699
  23254: 1690
  22755: 1690
  23006: 1686
  22128: 1682
  22244: 1680
  20969: 1673
  85053: 1673
  22600: 1672
  23213: 1671
  21990: 1667
  21088: 1666
  22752: 1666
  22456: 1663
  85184C: 1656
  22271: 1655
  23251: 1655
  21883: 1652
  23156: 1648
  22732: 1645
  22026: 1644
  23120: 1644
  23498: 1644
  23135: 1642
  22095: 1641
  21714: 1637
  23227: 1636
  21770: 1635
  22718: 1633
  23500: 1631
  21843: 1628
  23291: 1625
  21888: 1622
  22941: 1621
  21429: 1619
  22690: 1617
  22625: 1612
  23289: 1610
  22109: 1610
  23373: 1608
  85049G: 1601
  22097: 1600
  46000M: 1600
  21068: 1596
  23331: 1596
  21937: 1593
  22212: 1591
  84508A: 1591
  22329: 1587
  22974: 1587
  22733: 1583
  22508: 1577
  23681: 1577
  82001S: 1575
  23547: 1575
  22896: 1574
  20674: 1570
  22581: 1569
  22751: 1564
  22264: 1563
  23370: 1554
  22115: 1549
  21422: 1548
  22478: 1543
  22715: 1543
  22812: 1542
  21873: 1530
  22300: 1530
  22613: 1528
  22692: 1526
  17038: 1525
  21398: 1523
  22779: 1515
  21033: 1515
  20754: 1514
  22185: 1510
  23381: 1509
  23302: 1508
  21531: 1507
  22117: 1504
  84030E: 1503
  22576: 1503
  22208: 1502
  21588: 1496
  21718: 1493
  85227: 1488
  21294: 1483
  22948: 1481
  21015: 1481
  23221: 1479
  22665: 1478
  85062: 1470
  23323: 1470
  23348: 1469
  23197: 1467
  22501: 1467
  21162: 1465
  48116: 1462
  20977: 1462
  16048: 1461
  22672: 1460
  23160: 1456
  22505: 1456
  22543: 1455
  21158: 1450
  23242: 1449
  37342: 1449
  22089: 1448
  21705: 1439
  22746: 1439
  16236: 1438
  23431: 1438
  22099: 1437
  21716: 1433
  11001: 1430
  47599B: 1428
  23312: 1423
  84406B: 1422
  22562: 1421
  22350: 1412
  23162: 1412
  37448: 1411
  85132C: 1406
  22400: 1399
  22340: 1399
  16238: 1398
  21563: 1395
  22433: 1391
  22074: 1391
  16008: 1382
  21167: 1382
  23534: 1381
  22654: 1379
  22193: 1379
  22603: 1376
  23372: 1375
  22477: 1373
  22096: 1367
  22702: 1363
  21870: 1363
  22035: 1360
  22055: 1359
  21112: 1359
  21114: 1356
  37327: 1355
  22349: 1355
  79163: 1353
  23375: 1351
  22737: 1349
  23228: 1348
  23377: 1346
  21328: 1342
  22444: 1341
  22319: 1340
  22274: 1340
  20963: 1338
  22674: 1337
  22965: 1335
  22420: 1334
  21715: 1330
  21533: 1329
  22622: 1329
  23535: 1328
  22607: 1327
  22299: 1327
  22709: 1325
  22377: 1321
  22780: 1321
  23028: 1319
  22943: 1318
  85048: 1318
  23483: 1318
  23499: 1315
  22922: 1311
  22403: 1311
  22897: 1310
  23217: 1309
  23549: 1305
  85111: 1304
  23029: 1304
  85071B: 1299
  10125: 1296
  21014: 1295
  22291: 1293
  37446: 1292
  23102: 1288
  21206: 1288
  85230B: 1288
  21823: 1283
  22380: 1280
  23281: 1280
  21872: 1280
  21561: 1280

Medium Selling:
  72351A: 1278
  23432: 1278
  23031: 1276
  21788: 1275
  35923: 1275
  22422: 1274
  16016: 1273
  22902: 1272
  23225: 1272
  23426: 1271
  17084N: 1264
  22187: 1262
  22076: 1260
  22207: 1259
  21096: 1259
  84818: 1259
  22707: 1257
  22580: 1256
  21069: 1255
  84535B: 1253
  22604: 1253
  23189: 1248
  16012: 1244
  22429: 1239
  22973: 1239
  23543: 1237
  23169: 1236
  84596L: 1234
  21955: 1230
  22717: 1229
  22344: 1228
  20682: 1225
  22809: 1224
  21402: 1222
  22396: 1220
  23379: 1220
  22736: 1220
  85049C: 1217
  22675: 1216
  23086: 1212
  21830: 1212
  23433: 1211
  23505: 1207
  22023: 1206
  21209: 1205
  22975: 1203
  22784: 1201
  20832: 1200
  84510A: 1200
  23226: 1199
  22758: 1197
  20829: 1195
  22129: 1194
  22795: 1192
  22955: 1192
  37370: 1190
  22923: 1190
  22043: 1189
  23360: 1187
  20961: 1185
  22078: 1184
  21801: 1182
  23274: 1180
  21879: 1178
  22859: 1177
  23691: 1175
  48111: 1174
  21428: 1173
  23134: 1173
  22676: 1172
  22110: 1171
  22821: 1171
  21773: 1170
  85194S: 1168
  21012: 1168
  20985: 1167
  22723: 1167
  22169: 1166
  21884: 1166
  22327: 1165
  72817: 1164
  22731: 1158
  85014A: 1158
  22306: 1157
  22550: 1157
  23267: 1154
  22776: 1152
  22967: 1151
  21903: 1149
  84012: 1145
  21058: 1145
  22545: 1142
  21382: 1140
  21679: 1140
  22292: 1139
  22479: 1139
  22982: 1131
  22311: 1130
  20828: 1130
  21163: 1130
  85035C: 1128
  22399: 1128
  22700: 1128
  22050: 1125
  21123: 1121
  23389: 1120
  22858: 1119
  21200: 1119
  21135: 1118
  21260: 1118
  21259: 1117
  21389: 1115
  20970: 1114
  22101: 1114
  85034C: 1113
  22857: 1111
  22245: 1111
  22191: 1108
  21070: 1107
  23369: 1105
  21641: 1104
  22345: 1102
  22286: 1102
  21881: 1102
  23126: 1098
  22757: 1096
  21774: 1094
  85078: 1092
  21215: 1089
  21159: 1087
  22371: 1086
  21217: 1080
  84828: 1079
  21245: 1078
  22669: 1078
  23548: 1075
  22532: 1072
  23080: 1068
  21207: 1068
  23012: 1066
  85038: 1065
  21584: 1065
  23509: 1065
  23530: 1062
  16054: 1058
  22572: 1058
  23250: 1058
  21591: 1057
  22222: 1057
  22976: 1054
  21401: 1052
  22494: 1049
  22170: 1049
  22582: 1049
  22837: 1048
  22441: 1048
  23096: 1047
  21564: 1039
  22346: 1037
  10002: 1037
  23237: 1037
  22230: 1032
  23132: 1030
  23061: 1030
  22132: 1026
  23404: 1023
  22262: 1022
  22438: 1022
  21439: 1022
  22721: 1022
  22210: 1019
  21397: 1018
  22930: 1013
  79062D: 1012
  22753: 1011
  22801: 1011
  22332: 1009
  22677: 1007
  23299: 1007
  23255: 1006
  21890: 1006
  23283: 1004
  47421: 999
  22228: 999
  85183B: 996
  23526: 996
  21383: 996
  22686: 995
  23359: 993
  84926E: 992
  22598: 988
  20801: 987
  23034: 985
  85230G: 984
  85131A: 983
  21654: 983
  22924: 982
  23220: 982
  79030G: 980
  21556: 980
  23531: 979
  22844: 978
  21192: 977
  84032A: 977
  47504H: 974
  20751: 967
  23273: 965
  22671: 962
  22211: 961
  22937: 961
  22342: 961
  16033: 960
  23569: 959
  21198: 957
  22949: 954
  21110: 953
  23130: 953
  22747: 951
  22048: 950
  22049: 950
  21340: 950
  22977: 950
  85034B: 949
  23129: 949
  79191C: 947
  22628: 945
  21329: 944
  21291: 943
  22284: 941
  22249: 940
  21896: 940
  22209: 938
  23093: 938
  22820: 938
  22179: 938
  20733: 936
  21832: 935
  84821: 935
  22565: 934
  22080: 934
  21745: 934
  22269: 933
  22231: 931
  23123: 930
  85213: 930
  22743: 928
  23244: 927
  35095A: 925
  22192: 924
  22623: 924
  23131: 924
  85204: 923
  85194L: 920
  23013: 919
  22315: 918
  21199: 918
  84006: 918
  21041: 918
  85176: 917
  22321: 916
  22360: 914
  84817: 914
  23489: 913
  22337: 912
  85116: 911
  21789: 908
  21071: 908
  22293: 907
  22810: 906
  22258: 905
  21208: 904
  21107: 904
  85206A: 903
  21224: 902
  22102: 902
  21111: 901
  35648: 900
  21922: 900
  21636: 897
  22840: 896
  85203: 896
  23541: 890
  22134: 890
  85071A: 889
  21109: 889
  84509A: 887
  21211: 884
  21619: 884
  21400: 881
  48129: 881
  22811: 880
  22587: 880
  23566: 879
  22566: 879
  22175: 877
  22412: 875
  85230E: 875
  22476: 874
  85040A: 873
  22198: 873
  84032B: 873
  23138: 872
  22285: 871
  21680: 868
  21292: 867
  21615: 866
  85017B: 866
  21327: 864
  35095B: 862
  22744: 862
  22416: 862
  22800: 861
  23184: 861
  22789: 859
  22650: 858
  85231B: 857
  22678: 854
  23087: 853
  23461: 853
  22529: 853
  22847: 852
  21658: 851
  21447: 850
  85131D: 850
  85049H: 849
  23014: 849
  21201: 849
  22424: 847
  85032D: 845
  84944: 845
  21539: 845
  22627: 841
  85230A: 840
  20803: 837
  22267: 836
  22072: 836
  85130B: 834
  84660A: 833
  70007: 833
  22279: 833
  72816: 832
  22768: 832
  22224: 831
  47518F: 827
  23435: 827
  23347: 826
  22680: 826
  23239: 825
  79051A: 825
  22807: 825
  23388: 825
  21817: 824
  21677: 823
  21616: 822
  21756: 821
  47021G: 818
  22250: 817
  22133: 816
  22931: 815
  16225: 815
  21947: 813
  23068: 813
  23282: 812
  85177: 812
  21864: 809
  22322: 808
  22547: 807
  21634: 807
  84819: 807
  22639: 806
  85039B: 806
  84792: 805
  37447: 803
  21949: 801
  21354: 801
  85169A: 800
  23249: 799
  85032B: 798
  84535A: 798
  22186: 795
  23088: 795
  22522: 795
  23214: 794
  23223: 791
  22365: 791
  85032A: 790
  22845: 789
  21452: 789
  21411: 787
  35964: 786
  23393: 786
  22933: 784
  22287: 784
  22673: 782
  23133: 781
  22434: 780
  21713: 779
  22103: 778
  22586: 778
  22366: 776
  23222: 775
  22605: 774
  22483: 773
  21626: 773
  79066K: 771
  15056P: 768
  22304: 767
  23695: 765
  22932: 764
  22523: 764
  72802C: 763
  23118: 763
  21905: 761
  22649: 761
  22487: 760
  22163: 760
  22100: 757
  21609: 756
  22968: 753
  22679: 752
  23146: 751
  23390: 750
  21866: 750
  22354: 749
  47480: 748
  23494: 748
  22735: 746
  22947: 745
  22695: 741
  22767: 739
  21822: 737
  22696: 737
  22778: 736
  21386: 733
  72349B: 731
  84459B: 731
  22307: 731
  23395: 728
  23235: 725
  22040: 725
  22634: 725
  22854: 724
  21249: 724
  23224: 724
  23127: 724
  22361: 721
  21684: 721
  22647: 721
  23033: 720
  22426: 719
  20846: 717
  21530: 716
  22681: 716
  85199L: 714
  23502: 714
  21577: 713
  84926D: 709
  84660B: 709
  85093: 708
  21391: 708
  22334: 707
  22831: 706
  21882: 706
  85039A: 705
  22863: 701
  22664: 701
  20802: 700
  16161G: 700
  22051: 700
  22251: 698
  44234: 696
  22358: 692
  22305: 692
  79190B: 691
  21066: 691
  85107: 690
  85071C: 683
  35598D: 683
  22452: 682
  21578: 681
  37450: 681
  22688: 680
  23473: 679
  21586: 679
  22682: 678
  82613D: 677
  85202: 676
  22190: 676
  21116: 674
  85032C: 673
  22092: 672
  22247: 670
  22689: 668
  22310: 668
  21355: 667
  85183A: 665
  21640: 662
  21195: 662
  22316: 660
  16169M: 660
  23396: 658
  21125: 658
  20986: 657
  22254: 657
  84459A: 657
  72586: 657
  22592: 656
  22062: 655
  22070: 653
  23052: 653
  47422: 652
  23559: 652
  23110: 651
  22683: 651
  85114A: 649
  22217: 645
  23564: 644
  22252: 644
  22081: 644
  15044D: 643
  21356: 643
  23392: 643
  84660C: 641
  85094: 641
  35924: 641
  21948: 641
  22742: 641
  82567: 640
  22846: 639
  23529: 637
  21471: 637
  84596J: 635
  79337: 631
  23568: 629
  22255: 629
  90057: 628
  22232: 626
  23403: 623
  21991: 623
  85131B: 623
  22312: 623
  23536: 622
  22520: 622
  21675: 622
  35646: 619
  22935: 618
  21318: 617
  85186A: 615
  85174: 614
  22430: 610
  23398: 609
  21463: 609
  72598: 607
  22480: 607
  21648: 606
  84926A: 604
  47567B: 601
  22756: 599
  21455: 599
  21059: 599
  22635: 598
  22685: 593
  21126: 593
  21927: 592
  21257: 590
  22687: 588
  22216: 588
  22934: 586
  17129F: 586
  22524: 586
  22063: 584
  85159B: 584
  85035B: 584
  22860: 583
  22905: 582
  22261: 581
  23515: 579
  23164: 577
  23525: 577
  22233: 576
  90058B: 576
  22044: 576
  22248: 574
  23252: 574
  85054: 573
  21454: 573
  22107: 573
  35954: 573
  22781: 573
  22583: 572
  22842: 571
  23091: 571
  22314: 569
  23553: 569
  23511: 568
  22135: 568
  22061: 567
  22636: 567
  23124: 567
  21115: 566
  22229: 566
  85130D: 565
  21906: 564
  21065: 564
  22116: 563
  22242: 563
  40001: 562
  21191: 562
  23513: 560
  23418: 558
  35598B: 558
  21894: 557
  23358: 557
  22364: 557
  35810A: 556
  22838: 556
  79063C: 555
  22374: 551
  21557: 551
  22085: 548
  22260: 548
  23048: 548
  35004B: 547
  16049: 547
  21289: 547
  23490: 545
  23026: 543
  21813: 542
  72800E: 541
  22265: 540
  44235: 539
  22481: 539
  21062: 539
  22057: 536
  22926: 534
  22942: 533
  22701: 533
  22684: 530
  21794: 529
  21643: 529
  23152: 528
  21617: 528
  21063: 528
  85019B: 527
  20966: 526
  23216: 525
  85016: 522
  22521: 520
  22485: 520
  22856: 518
  22068: 518
  82613C: 518
  22841: 518
  22626: 517
  23452: 517
  84509G: 517
  85114C: 516
  23092: 515
  22120: 514
  37449: 514
  23112: 514
  22468: 514
  22990: 512
  84519A: 512
  21775: 512
  84827: 511
  21039: 511
  21744: 510
  22123: 509
  85186C: 508
  22393: 508
  22559: 507
  84969: 507
  17013D: 506
  22473: 505
  21730: 504
  22541: 504
  22575: 503
  22953: 502
  21520: 502
  21503: 501
  23512: 501
  22052: 500
  21373: 500
  23542: 500
  21204: 499
  85180A: 497
  84313C: 497
  23050: 496
  10080: 495
  20839: 495
  84520B: 493
  84849D: 493
  23007: 493
  82613B: 493
  22031: 492
  20840: 491
  23058: 490
  21194: 489
  21061: 488
  84422: 488
  85132B: 487
  47574A: 486
  72803A: 486
  35967: 485
  22176: 484
  85130C: 483
  22259: 481
  23528: 479
  23081: 478
  21898: 476
  21306: 476
  85114B: 476
  16156L: 475
  21202: 475
  23524: 475
  22445: 475
  22038: 475
  22288: 475
  85231G: 475
  85173: 474
  23397: 474
  23419: 473
  21747: 473
  22181: 472
  23514: 472
  84519B: 472
  16258A: 471
  22280: 469
  22981: 466
  22853: 466
  23424: 465
  22783: 465
  84341B: 464
  22357: 464
  16052: 463
  22914: 463
  17012D: 463
  15044A: 463
  20707: 463
  17012F: 462
  22199: 460
  23125: 459
  75178: 459
  22458: 458
  22911: 458
  84625A: 458
  22939: 458
  20868: 458
  23401: 456
  23697: 456
  22425: 455
  22318: 455
  23049: 453
  17012B: 453
  23357: 453
  22341: 453
  84951A: 452
  21258: 452
  84951B: 451
  22588: 451
  47469: 449
  21219: 448
  23406: 448
  85132A: 448
  85170D: 446
  23128: 446
  72799E: 446
  84763: 446
  35971: 445
  22071: 444
  23325: 444
  21043: 444
  23075: 443
  79302M: 443
  21897: 443
  22843: 443
  75131: 442
  22223: 441
  23400: 441
  21442: 440
  79160: 439
